process_count,thread_count,requests_per_second,time_per_request_ms,transfer_rate_kbps,p50_latency_ms,p90_latency_ms,p99_latency_ms
1,150,406.36,246.084,355.97,170,197,843
2,75,625.79,159.799,548.17,105,146,527
3,50,997.09,100.292,873.43,81,125,145
4,37,1008.07,99.2,883.04,69,117,278
5,30,1226.96,81.502,1074.79,68,98,118
6,25,1393.25,71.775,1220.46,57,85,99
7,21,1049.0,95.329,918.9,61,105,278
8,18,1095.64,91.271,959.75,57,94,236
9,16,1108.28,90.23,970.82,55,88,264
10,15,1435.9,69.643,1257.81,54,79,114
11,13,1440.15,69.437,1261.54,53,80,121
12,12,1375.52,72.7,1204.92,54,82,127
13,11,1420.18,70.413,1244.05,54,78,117
14,10,1084.1,92.242,949.65,55,100,123
15,10,1413.9,70.727,1238.54,54,84,125
16,9,1482.82,67.439,1298.92,53,66,116
17,8,1106.36,90.387,969.14,53,97,115
18,8,1457.74,68.599,1276.95,53,74,115
19,7,1430.22,69.919,1252.84,53,88,124
20,7,1417.24,70.56,1241.47,53,82,120
21,7,1416.78,70.583,1241.07,53,80,125
22,6,1448.9,69.018,1269.2,53,73,120
23,6,1405.91,71.128,1231.54,53,90,129
24,6,1435.6,69.657,1257.55,53,76,123
25,6,1096.55,91.195,960.55,53,95,128
26,5,1113.4,89.815,975.31,53,111,131
27,5,1096.79,91.175,960.77,53,99,127
28,5,1459.59,68.513,1278.56,53,70,125
29,5,1063.78,94.005,931.84,53,79,135
30,5,1406.06,71.121,1231.68,53,78,134
31,4,1105.49,90.457,968.38,53,92,134
32,4,1426.72,70.091,1249.77,53,77,132
33,4,1095.74,91.263,959.84,53,100,128
34,4,1416.04,70.62,1240.41,53,76,132
35,4,1419.35,70.455,1243.32,53,87,136
36,4,1470.98,67.982,1288.55,53,69,125
37,4,1131.95,88.343,991.56,53,69,123
38,3,1469.15,68.067,1286.94,52,72,123
39,3,1107.28,90.312,969.95,53,103,143
40,3,1471.06,67.978,1288.61,53,67,130
41,3,1081.41,92.472,947.29,53,103,141
42,3,1144.04,87.41,1002.15,53,66,117
43,3,1417.15,70.564,1241.39,53,80,140
44,3,1450.34,68.949,1270.46,52,76,128
45,3,1389.85,71.95,1217.48,53,96,141
46,3,1404.43,71.203,1230.25,53,100,143
47,3,1459.08,68.536,1278.12,53,72,129
48,3,1400.85,71.385,1227.11,53,93,146
49,3,1480.01,67.567,1296.45,52,67,125
50,3,1386.91,72.103,1214.9,53,94,148
51,2,1395.92,71.637,1222.8,53,79,148
52,2,1483.78,67.396,1299.75,53,68,126
53,2,1481.23,67.511,1297.53,52,70,126
54,2,1352.32,73.947,1184.6,53,110,154
55,2,1068.1,93.624,935.63,53,93,155
56,2,1492.98,66.98,1307.82,53,66,127
57,2,1481.16,67.515,1297.46,52,69,130
58,2,1391.07,71.887,1218.55,53,80,151
59,2,1467.06,68.163,1285.11,53,72,130
60,2,1490.72,67.082,1305.84,53,70,120
61,2,1475.44,67.776,1292.45,53,69,129
62,2,1025.6,97.504,898.4,53,109,153
63,2,1475.74,67.763,1292.72,53,67,125
64,2,1491.88,67.029,1306.85,53,68,125
65,2,1494.52,66.911,1309.16,53,66,130
66,2,602.76,165.904,528.0,95,289,297
67,2,1071.23,93.35,938.38,53,84,143
68,2,1465.4,68.241,1283.66,53,72,121
69,2,1357.29,73.676,1188.95,53,106,157
70,2,1374.65,72.746,1204.16,53,80,163
71,2,1377.25,72.608,1206.44,53,85,154
72,2,1365.47,73.235,1196.12,53,95,154
73,2,1387.42,72.076,1215.35,53,88,152
74,2,1459.02,68.539,1278.06,53,75,130
75,2,1370.84,72.948,1200.82,53,97,163
76,1,1237.85,80.785,1084.33,68,76,122
77,1,1246.12,80.249,1091.57,68,79,126
78,1,1177.07,84.957,1031.08,68,90,165
79,1,1256.12,79.611,1100.33,67,79,127
80,1,1267.41,78.901,1110.22,66,80,132
81,1,1211.68,82.53,1061.4,65,88,161
82,1,1235.42,80.944,1082.2,64,93,161
83,1,1321.24,75.686,1157.38,63,76,126
84,1,1236.37,80.882,1083.03,62,95,169
85,1,1236.98,80.842,1083.57,62,98,163
86,1,1363.19,73.357,1194.12,61,73,118
87,1,1363.02,73.367,1193.97,61,74,118
88,1,1303.3,76.728,1141.66,60,85,150
89,1,1390.16,71.934,1217.75,59,72,113
90,1,1281.61,78.027,1122.66,58,99,159
91,1,1422.5,70.299,1246.07,58,71,108
92,1,1419.63,70.441,1243.56,57,74,109
93,1,1326.77,75.371,1162.22,56,103,160
94,1,1319.89,75.764,1156.2,56,83,161
95,1,1338.68,74.701,1172.65,55,89,163
96,1,1479.88,67.573,1296.34,54,72,105
97,1,1345.48,74.323,1178.61,54,101,164
98,1,1348.05,74.181,1180.86,54,104,166
99,1,1492.49,67.002,1307.39,53,73,109
100,1,1366.5,73.18,1197.02,53,108,167
